espn_event_id,date,home_abbr,home_name,home_score,away_abbr,away_name,away_score,status,venue
760415,2026-06-11,MEX,Mexico,2,RSA,South Africa,0,STATUS_FULL_TIME,Estadio Banorte
760414,2026-06-12,KOR,South Korea,2,CZE,Czechia,1,STATUS_FULL_TIME,Estadio Akron
760416,2026-06-12,CAN,Canada,1,BIH,Bosnia-Herzegovina,1,STATUS_FULL_TIME,BMO Field
760417,2026-06-13,USA,United States,4,PAR,Paraguay,1,STATUS_FULL_TIME,SoFi Stadium
760420,2026-06-13,QAT,Qatar,1,SUI,Switzerland,1,STATUS_FULL_TIME,Levi's Stadium
760419,2026-06-13,BRA,Brazil,1,MAR,Morocco,1,STATUS_FULL_TIME,MetLife Stadium
760418,2026-06-14,HAI,Haiti,0,SCO,Scotland,1,STATUS_FULL_TIME,Gillette Stadium
760421,2026-06-14,AUS,Australia,2,TUR,Türkiye,0,STATUS_FULL_TIME,BC Place
760422,2026-06-14,GER,Germany,7,CUW,Curaçao,1,STATUS_FULL_TIME,NRG Stadium
760425,2026-06-14,NED,Netherlands,2,JPN,Japan,2,STATUS_FULL_TIME,AT&T Stadium
760423,2026-06-14,CIV,Ivory Coast,1,ECU,Ecuador,0,STATUS_FULL_TIME,Lincoln Financial Field
760424,2026-06-15,SWE,Sweden,5,TUN,Tunisia,1,STATUS_FULL_TIME,Estadio BBVA
760428,2026-06-15,ESP,Spain,0,CPV,Cape Verde,0,STATUS_FULL_TIME,Mercedes-Benz Stadium
