player,stat,line,direction,tc_proj,n_hist,edge,exp_hr,odds
Mohamed Kanno,shots,1.0,Over,2.0,3,1.0,0.661,-185
Kevin De Bruyne,shots,3.0,Over,2.33,13,-0.222,0.661,-300
Kevin De Bruyne,shots_on_target,1.0,Over,0.67,13,-0.333,0.492,-185
Youri Tielemans,assists,0.5,Over,0.33,3,-0.333,0.105,350
Amadou Onana,shots,3.0,Over,2.0,1,-0.333,0.661,650
Mehdi Taremi,assists,0.5,Over,0.33,5,-0.333,0.105,340
Mehdi Taremi,shots,3.0,Over,1.67,5,-0.444,0.661,-185
Abdulelah Al-Amri,shots,1.0,Over,0.5,2,-0.5,0.661,185
Thomas Meunier,shots,3.0,Over,1.33,7,-0.556,0.661,1000
Salem Al-Dawsari,shots_on_target,3.0,Over,1.33,6,-0.556,0.492,2200
Federico Valverde,shots,5.0,Over,2.0,3,-0.6,0.661,550
Salem Al-Dawsari,shots,5.0,Over,2.0,6,-0.6,0.661,1300
Youri Tielemans,shots,3.0,Over,1.0,3,-0.667,0.661,350
Youri Tielemans,shots_on_target,1.0,Over,0.33,3,-0.667,0.492,120
Saud Abdulhamid,shots,1.0,Over,0.33,3,-0.667,0.661,140
Mehdi Taremi,shots_on_target,2.0,Over,0.67,5,-0.667,0.492,175
Saeid Ezatolahi,shots,3.0,Over,1.0,4,-0.667,0.661,350
Saeid Ezatolahi,shots_on_target,2.0,Over,0.67,4,-0.667,0.492,1000
Rodrigo Bentancur,shots,4.0,Over,1.0,8,-0.75,0.661,1800
Saleh Al-Shehri,shots_on_target,3.0,Over,0.67,3,-0.778,0.492,1900
Rodrigo Bentancur,shots_on_target,2.0,Over,0.33,8,-0.833,0.492,1300
Mohamed Kanno,shots_on_target,2.0,Over,0.33,3,-0.833,0.492,1700
Saleh Al-Shehri,shots,5.0,Over,0.67,3,-0.867,0.661,1300
Facundo Pellistri,shots,5.0,Over,0.5,2,-0.9,0.661,1000
Kevin De Bruyne,assists,0.5,Over,0.0,13,-1.0,0.105,170
Leandro Trossard,assists,0.5,Over,0.0,1,-1.0,0.105,270
Leandro Trossard,shots,3.0,Over,0.0,1,-1.0,0.661,-240
Leandro Trossard,shots_on_target,1.0,Over,0.0,1,-1.0,0.492,-155
Thomas Meunier,assists,0.5,Over,0.0,7,-1.0,0.105,460
Mohamed Salah,assists,0.5,Over,0.0,2,-1.0,0.105,470
Timothy Castagne,assists,0.5,Over,0.0,3,-1.0,0.105,600
Timothy Castagne,shots,2.0,Over,0.0,3,-1.0,0.661,600
Timothy Castagne,shots_on_target,1.0,Over,0.0,3,-1.0,0.492,360
Amadou Onana,assists,0.5,Over,0.0,1,-1.0,0.105,650
Amadou Onana,shots_on_target,1.0,Over,0.0,1,-1.0,0.492,200
Guillermo Varela,assists,0.5,Over,0.0,4,-1.0,0.105,300
Guillermo Varela,shots,1.0,Over,0.0,4,-1.0,0.661,-120
Guillermo Varela,shots_on_target,2.0,Over,0.0,4,-1.0,0.492,3000
Federico Valverde,assists,0.5,Over,0.0,3,-1.0,0.105,320
Federico Valverde,shots_on_target,3.0,Over,0.0,3,-1.0,0.492,1300
Facundo Pellistri,assists,0.5,Over,0.0,2,-1.0,0.105,340
Facundo Pellistri,shots_on_target,3.0,Over,0.0,2,-1.0,0.492,2000
Rodrigo Bentancur,assists,0.5,Over,0.0,8,-1.0,0.105,500
Salem Al-Dawsari,assists,0.5,Over,0.0,6,-1.0,0.105,850
Saud Abdulhamid,assists,0.5,Over,0.0,3,-1.0,0.105,1200
Saud Abdulhamid,shots_on_target,1.0,Over,0.0,3,-1.0,0.492,550
Mohamed Kanno,assists,0.5,Over,0.0,3,-1.0,0.105,1500
Saleh Al-Shehri,assists,0.5,Over,0.0,3,-1.0,0.105,1500
Abdulelah Al-Amri,assists,0.5,Over,0.0,2,-1.0,0.105,2700
Abdulelah Al-Amri,shots_on_target,1.0,Over,0.0,2,-1.0,0.492,700
Milad Mohammadi,assists,0.5,Over,0.0,3,-1.0,0.105,650
Milad Mohammadi,shots,2.0,Over,0.0,3,-1.0,0.661,470
Milad Mohammadi,shots_on_target,1.0,Over,0.0,3,-1.0,0.492,450
Saeid Ezatolahi,assists,0.5,Over,0.0,4,-1.0,0.105,850
